id;title;author;keywords;description;rating;date_added;date_modified;image;image_content_type
1;Table Fish;Dynamic programming;forecast;../fake-data/blob/hipster.txt;6904;2021-08-02;2021-08-02;../fake-data/blob/hipster.png;image/png
2;Lilangeni transmit synthesizing;Concrete Mouse;Wyoming calculating;../fake-data/blob/hipster.txt;47433;2021-08-02;2021-08-03;../fake-data/blob/hipster.png;image/png
3;ADP synthesizing Developer;Representative parsing;calculating;../fake-data/blob/hipster.txt;58587;2021-08-03;2021-08-02;../fake-data/blob/hipster.png;image/png
4;Books quantify;Points violet;ivory lime;../fake-data/blob/hipster.txt;88762;2021-08-03;2021-08-02;../fake-data/blob/hipster.png;image/png
5;mobile XML;Jordanian application withdrawal;Soft transmitting Club;../fake-data/blob/hipster.txt;41486;2021-08-02;2021-08-02;../fake-data/blob/hipster.png;image/png
6;generate Ports syndicate;Soft;Escudo;../fake-data/blob/hipster.txt;15564;2021-08-02;2021-08-02;../fake-data/blob/hipster.png;image/png
7;drive mobile protocol;Checking Developer;Future-proofed;../fake-data/blob/hipster.txt;31019;2021-08-02;2021-08-03;../fake-data/blob/hipster.png;image/png
8;green Sharable;parse payment salmon;interface;../fake-data/blob/hipster.txt;67602;2021-08-02;2021-08-02;../fake-data/blob/hipster.png;image/png
9;Supervisor;payment Toys Home;solid and;../fake-data/blob/hipster.txt;67980;2021-08-02;2021-08-03;../fake-data/blob/hipster.png;image/png
10;Pizza Andorra blue;circuit Carolina Jan;Towels optical;../fake-data/blob/hipster.txt;40787;2021-08-03;2021-08-02;../fake-data/blob/hipster.png;image/png
